Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Sāmoa,exact,A,-13.8,-172.13333,12,51.79332565558927
Perth,exact,P,-31.95224,115.8614,19,60.80364958586591
Pulau Panjang,exact,T,-5.93093,106.15193,11,61.47493062165949
Príncipe,exact,A,1.0,7.0,4,78.61720677100736
Uzbekistan,exact,A,41.66667,63.83333,3,33.347924667106874
Pulau Lembu,exact,T,0.99917,103.97556,11,76.78724295284425
Deal,exact,P,47.67597,26.67671,3,23.632532517332965
Alegranza,exact,T,29.39963,-13.51123,2,11.213480154821594
Northern Bay Bengal,Northern,L,-20.04022,145.93238,13,68.17525853743878
Alqueva,exact,P,38.21672,-7.5389,3,31.681384030021448
Youngs Island,exact,T,13.13051,-61.2027,2,52.18129809589461
Tarragona,exact,P,41.11905,1.24544,22,47.39632997304757
Deep sea,exact,L,2.57582,9.8276,4,37.35553544658675
Nansha,exact,P,22.75041,113.57144,9,28.793584767020512
Süreyyabey Dam Lake,Dam,P,27.11667,89.76667,15,50.110148898517025
Huangshui River Basin,Huangshui,P,29.05133,120.79827,9,57.67090428322267
YE,exact,S,15.30041,97.86398,15,44.88951524343039
